row,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14
sample-91,0.538708115892726,0.573692109894648,0.527270302707036,0.463966753374336,0.460535671799973,0.606240746905711,0.504470454168934,0.55561192211889,0.63239663835479,0.494743336618686,0.55379935399479,0.575039583176145,0.471431974541611,0.698117260496194,0.537090460367786,0.431290987419088,0.616886435217176,0.569260689083411,0.558772167737181,0,0.600766962823532,0.508061936332124,0.67488372020058,0.5529953789715,0.438650368084593,0.582128342948733,0.672820827983594,0.5457684291508,0.534681696698718,0.541245579641448,0.682874754326413
sample-82,0.529573515453065,0.583436232790628,0.5485487299873,0.561282956794396,0.424684685486516,0.559587712665971,0.472064588462487,0.486898524295936,0.524316551772938,0.49849205754868,0.395308647302143,0.588017621416845,0.458267697581123,0.811306317330961,0.547239626610355,0.555427105534906,0.694279307417244,0.578945466978423,0.570886620803083,0.600766962823532,0,0.493109159903532,0.681208366847239,0.588103925271183,0.564063982869769,0.636471619724788,0.565651843858629,0.53956972361925,0.57555271980607,0.460611086841356,0.667371063164312
sample-4,0.317949558030019,0.402945500319834,0.308061822412099,0.392563832028773,0.465441028583596,0.462722237925339,0.592185659801741,0.383778347668738,0.651473370096088,0.540158834374492,0.483397914811534,0.44584094832986,0.518654684109658,0.727184518269895,0.332062566489351,0.347024533850508,0.595709400695464,0.377631897594757,0.461012884281921,0.508061936332124,0.493109159903532,0,0.543153981440964,0.334818169525782,0.346427712222143,0.361040082827768,0.525906020252031,0.323286500860261,0.316862662497132,0.380766331720777,0.668451453658786
sample-7,0.45971862839115,0.505576576912952,0.459710307191046,0.608805596540495,0.586487269164496,0.60660279456048,0.723144047711474,0.591224089206622,0.712435805632555,0.633223880549032,0.642980870918979,0.436245004742969,0.633844227198412,0.570027504206992,0.565527933630413,0.4756767040226,0.462871749695409,0.454643151003161,0.346443764614402,0.67488372020058,0.681208366847239,0.543153981440964,0,0.606499288005952,0.545664362826944,0.572036478040661,0.659035707804462,0.543205658751659,0.570476510342299,0.610556817574928,0.803863642099165
sample-12,0.331970109838371,0.463744994772974,0.307502382715316,0.378881700742282,0.55579429684235,0.539944045407931,0.677472396184511,0.492323789969424,0.750983592040182,0.637287361840887,0.558605465440754,0.512403311371142,0.572076915413453,0.781319211517165,0.296437545349049,0.462104766429975,0.714377623287005,0.386142896441534,0.559338161287025,0.5529953789715,0.588103925271183,0.334818169525782,0.606499288005952,0,0.441067374994112,0.198772833429587,0.585684116455728,0.402262781425622,0.270072230512662,0.498237105278127,0.730161932391308
sample-21,0.375811986241347,0.408256681371434,0.362826499816662,0.302420148076951,0.445080152003917,0.504789473574418,0.454395994375738,0.435046003441316,0.693926043796376,0.446265719824754,0.500012773965924,0.460587155190556,0.443746235035925,0.603329271025174,0.405558141906725,0.252707277580253,0.539922431684783,0.413190819479249,0.481137509955353,0.438650368084593,0.564063982869769,0.346427712222143,0.545664362826944,0.441067374994112,0,0.448501010590149,0.604117506031362,0.42517939196352,0.406468040384648,0.471744732054105,0.661930779112314
sample-18,0.331471475132021,0.457303030323934,0.299672000049432,0.374009273951219,0.582488335241756,0.581931271646872,0.706476908649763,0.535763549850468,0.783714747091731,0.664621277346752,0.603551200893384,0.502801710717803,0.601480505959989,0.760626031090015,0.302797987121512,0.445211066254763,0.689666014817352,0.37327859640154,0.537763060723029,0.582128342948733,0.636471619724788,0.361040082827768,0.572036478040661,0.198772833429587,0.448501010590149,0,0.620380483243098,0.448623188825736,0.302571274084452,0.546433019256642,0.75497361035191
sample-27,0.538970519523774,0.630657568751035,0.571443037250006,0.637247754466151,0.623289322588514,0.596154062310326,0.675855237709315,0.563457613495853,0.669035443045123,0.675619281807373,0.556874721870781,0.604548584179471,0.651913632339526,0.80851020304265,0.584347444681513,0.617300846898576,0.734130388715688,0.604539568698492,0.62234948678606,0.672820827983594,0.565651843858629,0.525906020252031,0.659035707804462,0.585684116455728,0.604117506031362,0.620380483243098,0,0.494985926676481,0.583014336681318,0.511026407726653,0.710754979332865
sample-20,0.362594701461664,0.441781962708926,0.381695226156314,0.467088397195853,0.503355109605965,0.419798894275685,0.643071288301204,0.375515585063291,0.650357077209009,0.579966586379792,0.508963782762407,0.445127019025849,0.539491158701299,0.759224799263282,0.391172805456236,0.4448115578143,0.620458170408961,0.442738202225396,0.458949477430069,0.5457684291508,0.53956972361925,0.323286500860261,0.543205658751659,0.402262781425622,0.42517939196352,0.448623188825736,0.494985926676481,0,0.36338796044968,0.375876351916011,0.689286823751133
sample-32,0.329556035159107,0.428553026357283,0.28644464594385,0.383858779890532,0.533218838999033,0.501429287303991,0.66600539842114,0.439337794744772,0.720246170567453,0.616650074620929,0.537271414270414,0.461838447738236,0.558277326923375,0.752197012470235,0.304565810089736,0.436566763323855,0.66911674433669,0.377990669380526,0.511228115277018,0.534681696698718,0.57555271980607,0.316862662497132,0.570476510342299,0.270072230512662,0.406468040384648,0.302571274084452,0.583014336681318,0.36338796044968,0,0.460958829647412,0.725201999641196
sample-22,0.434970208998594,0.486602528435011,0.434205666717302,0.492496678378252,0.460098724144747,0.409913533059411,0.567450173990952,0.361744341193119,0.588527954893508,0.535904589704606,0.453111654763633,0.492113997715861,0.503999815143617,0.779154338665026,0.460425594332709,0.480231543505648,0.627321765246584,0.499434517046887,0.480111263122664,0.541245579641448,0.460611086841356,0.380766331720777,0.610556817574928,0.498237105278127,0.471744732054105,0.546433019256642,0.511026407726653,0.375876351916011,0.460958829647412,0,0.630434581703396
sample-14,0.717320287522046,0.722124924557294,0.712428953579943,0.641592963249007,0.675094986118245,0.682582074244404,0.68463233934959,0.671298694024558,0.769546301005117,0.702881523106083,0.665890334884559,0.725861178979073,0.688426595460447,0.830836827975141,0.714934548096761,0.676302270718066,0.739174697391921,0.734481512031482,0.757955101163677,0.682874754326413,0.667371063164312,0.668451453658786,0.803863642099165,0.730161932391308,0.661930779112314,0.75497361035191,0.710754979332865,0.689286823751133,0.725201999641196,0.630434581703396,0
