Genera,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14,avg_count
Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,144.611186903138,82.6909600560618,47.7308294209703,84.0455840455841,59.0277777777778,7.79510022271715,29.0023201856148,27.6422764227642,25.0783699059561,72.7848101265824,84.6511627906978,88.7918486171762,76.2016412661196,76.9230769230771,80.0821355236139,41.4276609305291,37.8947368421053,395.527603074774,23.0179028132993,125.195618153365,41.8071476736346,34.535686876439,300.852618757613,13.1034482758621,101.516150296638,11.208967173739,175.843694493784,73.6434108527132,36.7936925098555,17.7215189873418,12.3076923076923,78.3695687163624
Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; dgA-11 gut group,24.5566166439291,27.3300630693763,22.6917057902974,42.7350427350427,22.5694444444445,13.3630289532294,11.6009280742459,9.75609756097561,3.13479623824452,11.6033755274262,21.3953488372093,20.3784570596798,25.7913247362251,11.2570356472796,32.8542094455852,35.0541746335246,35.7894736842106,40.5310971348708,12.7877237851662,40.6885758998435,28.3209710047202,25.3261703760553,2.43605359317906,48.9655172413793,25.049439683586,52.0416333066454,14.2095914742451,18.0878552971576,48.6202365308805,18.9873417721519,80.0000000000001,26.7068816187357
Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,16.3710777626194,88.9978976874562,21.1267605633803,23.7416904083571,115.740740740741,28.9532293986637,163.573085846868,36.5853658536585,122.257053291536,163.502109704642,86.5116279069768,39.3013100436681,176.436107854631,1.87617260787993,39.6988364134155,41.427660930529,16.8421052631579,39.832285115304,45.3964194373402,23.4741784037559,60.0134861766689,28.3960092095165,9.74421437271622,8.27586206896553,21.094264996704,5.60448358686951,1.77619893428064,24.5478036175711,13.1406044678055,69.620253164557,9.23076923076924,49.7770859697098
Cyanobacteria; Melainabacteria; Gastranaerophilales; uncultured bacterium; ,42.9740791268758,55.3608969866854,29.7339593114241,30.8641975308642,26.0416666666666,11.1358574610245,16.2412993039444,15.4471544715447,7.05329153605016,17.9324894514768,17.6744186046512,10.1892285298399,46.8933177022275,13.1332082551595,31.4852840520192,59.2734225621415,4.21052631578948,46.8204053109714,14.7058823529412,26.60406885759,41.8071476736345,99.0023023791252,7.30816077953716,190.344827586207,68.5563612392881,227.38190552442,28.4191829484902,38.7596899224806,72.2733245729304,10.126582278481,12.3076923076923,42.5826397291024
Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter,203.956343792633,105.115627189909,158.841940532082,109.211775878443,315.393518518519,45.6570155902006,281.902552204177,47.1544715447154,53.2915360501568,690.928270042195,119.069767441861,209.606986899564,460.726846424385,125.703564727955,193.702943189596,135.117909496495,69.4736842105264,419.986023759609,230.81841432225,20.3442879499218,167.902899527984,99.0023023791252,520.097442143728,200,85.0362557679631,292.233787029624,42.6287744227354,46.5116279069768,94.6123521681998,41.7721518987343,21.5384615384616,180.881920469314
Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,66.1664392905867,115.6271899089,61.0328638497652,33.2383665716999,98.3796296296296,74.6102449888642,74.245939675174,37.3983739837398,172.413793103448,93.8818565400845,116.279069767442,91.703056768559,60.3751465416179,106.941838649156,49.9657768651609,117.272147864882,317.894736842106,146.051712089448,134.910485933504,117.370892018779,38.435603506406,59.8618572524943,174.177831912302,21.3793103448276,84.3770599868161,8.0064051240993,19.5381882770871,56.8475452196383,60.4467805519055,59.493670886076,83.0769230769232,88.7548624845523
Firmicutes; Bacilli; Bacillales; Planococcaceae; Caryophanon,135.743519781719,42.0462508759636,51.643192488263,37.0370370370371,41.087962962963,38.9755011135858,38.2830626450117,60.9756097560976,17.2413793103449,14.7679324894515,39.0697674418605,34.9344978165939,48.6518171160611,5.62851782363978,29.4318959616701,7.01083492670491,21.0526315789474,160.726764500349,17.9028132992328,15.6494522691706,115.981119352663,8.44205679201842,17.0523751522533,7.58620689655172,23.731048121292,4.00320256204965,8.88099467140321,11.6279069767442,7.88436268068332,53.1645569620253,18.4615384615385,36.60244547819
Firmicutes; Bacilli; Bacillales; Planococcaceae; Solibacillus,24.556616643929,6.30693763139454,7.04225352112676,6.17283950617284,9.83796296296297,5.56792873051225,9.28074245939675,4.8780487804878,6.26959247648904,4.21940928270043,12.093023255814,2.91120815138282,11.7233294255569,1.87617260787993,3.42231348391513,2.54939451880179,4.21052631578948,34.2417889587702,2.55754475703325,1.56494522691706,16.857720836143,2.30237912509593,6.09013398294763,0.689655172413793,4.614370468029,2.40192153722979,1.77619893428064,3.87596899224806,2.6281208935611,5.0632911392405,12.3076923076923,7.09322684148112
Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina,6.8212824010914,11.9131044148563,14.8669796557121,7.59734093067427,13.3101851851852,33.4075723830736,18.5614849187935,13.8211382113821,22.7272727272727,13.7130801687764,14.8837209302326,20.3784570596798,14.0679953106682,9.38086303939963,6.84462696783026,18.4831102613129,25.2631578947368,11.1809923130678,36.4450127877238,29.7339593114242,7.4173971679029,9.20951650038373,35.3227771010963,6.20689655172414,13.843111404087,1.60128102481986,10.6571936056839,3.87596899224807,3.94218134034166,7.59493670886077,3.07692307692308,14.3919200111924
Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Jeotgalicoccus,23.8744884038199,256.482130343378,19.5618153364632,43.2098765432099,21.9907407407407,114.699331848553,13.9211136890951,67.479674796748,32.9153605015674,12.6582278481013,12.0930232558139,205.240174672489,57.4443141852287,20.6378986866792,41.7522245037646,7.64818355640536,88.421052631579,23.759608665269,107.416879795397,50.0782472613459,12.8118678354687,16.1166538756715,12.1802679658953,11.7241379310345,15.820698747528,4.00320256204964,7.10479573712256,58.139534883721,27.5952693823916,35.4430379746836,12.3076923076923,46.2752105312551
Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,140.518417462483,274.702172389629,205.007824726135,2438.74643874644,1184.02777777778,259.465478841871,2380.51044083526,265.040650406504,136.363636363636,2199.36708860759,710.697674418606,78.6026200873363,1514.06799531067,8968.10506566605,211.498973305955,2121.73358827279,1096.84210526316,191.474493361286,115.728900255755,2115.80594679186,460.552933243426,363.008442056792,64.5554202192449,66.2068965517242,2444.95715227423,13.6108887109688,175.843694493784,143.410852713178,72.2733245729305,344.303797468355,1156.92307692308,1029.48237961673
